Date,Timeline,New_Cases,Symtotic_Cases,Cases_Needing_Hospitalization,Cases Needing Crittical Care,Death
2/2/2020,2-Feb,1,0,0,0,0
3/2/2020,3-Feb,0,0,0,0,0
4/2/2020,4-Feb,0,0,0,0,0
5/2/2020,5-Feb,1,0,0,0,0
6/2/2020,6-Feb,0,0,0,0,0
7/2/2020,7-Feb,1,1,0,0,0
8/2/2020,8-Feb,1,0,0,0,0
9/2/2020,9-Feb,1,0,0,0,0
10/2/2020,10-Feb,1,0,0,0,0
11/2/2020,11-Feb,1,1,0,0,0
12/2/2020,12-Feb,2,0,0,0,0
13/2/2020,13-Feb,2,0,0,0,0
14/2/2020,14-Feb,2,0,0,0,0
15/2/2020,15-Feb,3,1,0,0,0
16/2/2020,16-Feb,3,1,0,0,0
17/2/2020,17-Feb,4,1,0,0,0
18/2/2020,18-Feb,5,1,0,0,0
19/2/2020,19-Feb,6,2,0,0,0
20/2/2020,20-Feb,7,2,0,0,0
21/2/2020,21-Feb,9,2,0,0,0
22/2/2020,22-Feb,11,3,0,0,0
23/2/2020,23-Feb,13,3,0,0,0
24/2/2020,24-Feb,16,4,0,0,0
25/2/2020,25-Feb,20,5,0,0,0
26/2/2020,26-Feb,24,6,0,0,0
27/2/2020,27-Feb,29,7,0,0,0
28/2/2020,28-Feb,35,9,1,0,0
29/2/2020,29-Feb,43,11,0,0,0
1/3/2020,1-Mar,52,13,0,0,0
2/3/2020,2-Mar,63,16,0,0,0
3/3/2020,3-Mar,77,19,0,0,0
4/3/2020,4-Mar,93,24,1,0,0
5/3/2020,5-Mar,114,29,0,0,0
6/3/2020,6-Mar,138,35,0,0,0
7/3/2020,7-Mar,168,42,0,1,0
8/3/2020,8-Mar,204,51,1,0,0
9/3/2020,9-Mar,248,63,1,0,0
10/3/2020,10-Mar,302,76,1,0,0
11/3/2020,11-Mar,368,93,1,0,0
12/3/2020,12-Mar,447,113,1,1,0
13/3/2020,13-Mar,544,137,2,0,0
14/3/2020,14-Mar,661,166,2,0,0
15/3/2020,15-Mar,804,202,3,0,0
16/3/2020,16-Mar,978,246,3,0,0
17/3/2020,17-Mar,1189,299,4,0,0
18/3/2020,18-Mar,1447,364,5,0,1
19/3/2020,19-Mar,1759,443,6,0,0
20/3/2020,20-Mar,2140,539,7,0,0
21/3/2020,21-Mar,2603,655,8,0,0
22/3/2020,22-Mar,3165,797,10,0,0
23/3/2020,23-Mar,3850,969,12,1,0
24/3/2020,24-Mar,4682,1179,15,1,1
25/3/2020,25-Mar,5694,1434,18,1,0
26/3/2020,26-Mar,6926,1744,22,1,0
27/3/2020,27-Mar,8423,2121,27,1,1
28/3/2020,28-Mar,10244,2579,33,2,1
29/3/2020,29-Mar,12459,3137,40,2,0
30/3/2020,30-Mar,15153,3815,49,2,1
31/3/2020,31-Mar,18430,4640,59,3,1
1/4/2020,1-Apr,22414,5643,72,3,2
2/4/2020,2-Apr,27261,6864,88,4,2
3/4/2020,3-Apr,33155,8348,107,5,3
4/4/2020,4-Apr,40323,10153,130,6,3
5/4/2020,5-Apr,49042,12348,158,8,4
6/4/2020,6-Apr,59646,15018,192,9,5
7/4/2020,7-Apr,72542,18265,234,11,6
8/4/2020,8-Apr,88227,22214,285,14,7
9/4/2020,9-Apr,107303,27017,346,17,8
10/4/2020,10-Apr,130503,32858,421,20,10
11/4/2020,11-Apr,158720,39963,512,25,12
12/4/2020,12-Apr,193038,48603,622,30,15
13/4/2020,13-Apr,234776,59112,757,36,18
14/4/2020,14-Apr,285539,71893,921,44,22
15/4/2020,15-Apr,347277,87437,1120,54,26
16/4/2020,16-Apr,422364,106343,1362,65,32
17/4/2020,17-Apr,513686,129336,1656,79,39
18/4/2020,18-Apr,624753,157300,2015,97,48
19/4/2020,19-Apr,759835,191311,2450,117,58
20/4/2020,20-Apr,924123,232676,2980,143,70
21/4/2020,21-Apr,1123934,282984,3624,174,86
22/4/2020,22-Apr,1366946,344169,4408,211,104
23/4/2020,23-Apr,1662502,418584,5361,257,126
24/4/2020,24-Apr,2021962,509089,6520,312,154
25/4/2020,25-Apr,2459143,619163,7930,380,187
26/4/2020,26-Apr,2990850,753036,9645,462,228
27/4/2020,27-Apr,3637520,915854,11730,562,277
28/4/2020,28-Apr,4424011,1113876,26614,683,337
29/4/2020,29-Apr,5380554,1354715,17351,831,409
30/4/2020,30-Apr,6543917,1647626,21102,1011,498
1/5/2020,1-May,7958818,2003869,25665,1230,606
2/5/2020,2-May,9679643,2437138,31214,1495,736
3/5/2020,3-May,11772539,2964087,137963,1819,896
4/5/2020,4-May,14317952,3604971,46171,2212,1089
5/5/2020,5-May,17413726,4384424,56154,2690,1325
6/5/2020,6-May,21178856,5332408,168296,3272,1611
7/5/2020,7-May,13884100,6485361,83063,3979,1960
8/5/2020,8-May,,7887601,101022,4840,2383
9/5/2020,9-May,,9593028,122865,5886,2899
10/5/2020,10-May,,11667196,1149430,7159,3525
11/5/2020,11-May,,14189833,181739,8706,4288
12/5/2020,12-May,,9302347,221034,10589,5215
13/5/2020,13-May,,,268825,12878,6342
14/5/2020,14-May,,,320950,15663,7714
15/5/2020,15-May,,,397641,19050,9381
16/5/2020,16-May,,,483618,23168,11410
17/5/2020,17-May,,,1317043,28178,13877
18/5/2020,18-May,,,,34270,16877
19/5/2020,19-May,,,,41680,20526
20/5/2020,20-May,,,,50692,24965
21/5/2020,21-May,,,,61652,30362
22/5/2020,22-May,,,,74983,36927
23/5/2020,23-May,,,,91195,44911
24/5/2020,24-May,,,,110913,54622
25/5/2020,25-May,,,,72710,66432
26/5/2020,26-May,,,,,80796
27/5/2020,27-May,,,,,52967
